#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,-0.000000000,-0.000000001,0.000000000,0.000000001,-0.000000001,-0.000001907
100000010000000,0.000048057,0.000452282,-0.000000019,-0.000946911,0.000100678,9.809637070
100000020000000,-0.001255948,0.003174875,0.963618457,-0.013417237,0.766110718,10.816280365
100000030000000,-0.002749474,0.007789227,1.718886375,-0.033733614,0.599112689,10.790389061
100000040000000,-0.004388430,0.014003471,2.293885231,-0.055760726,0.454337478,10.764591217
100000050000000,-0.006139100,0.021567019,2.713968515,-0.075741112,0.329581767,10.738889694
100000060000000,-0.007963547,0.030259626,3.001914978,-0.091725484,0.222843036,10.713308334
100000070000000,-0.009813984,0.039883222,3.178129911,-0.102977648,0.132322356,10.687876701
100000080000000,-0.011632647,0.050256737,3.260877371,-0.109539300,0.056413207,10.662625313
100000090000000,-0.013354450,0.061211213,3.266468763,-0.111912906,-0.006339082,10.637588501
100000100000000,-0.014912333,0.072589815,3.209447622,-0.110839330,-0.057265364,10.612792969
100000110000000,-0.016239585,0.084244788,3.102721214,-0.107134670,-0.097605303,10.588268280
100000120000000,-0.017276743,0.096037455,2.957686663,-0.101595849,-0.128527984,10.564043999
100000130000000,-0.017974501,0.107837558,2.784319401,-0.094931893,-0.151151061,10.540143967
100000140000000,-0.018295826,0.119523779,2.591276646,-0.087732106,-0.166535780,10.516578674
100000150000000,-0.018219348,0.130983561,2.385973215,-0.080457866,-0.175694689,10.493372917
100000160000000,-0.017737716,0.142113075,2.174678802,-0.073439866,-0.179583013,10.470539093
100000170000000,-0.016859550,0.152817890,1.962597609,-0.066897094,-0.179094538,10.448089600
100000180000000,-0.015607523,0.163012519,1.753974080,-0.060954161,-0.175055936,10.426024437
100000190000000,-0.014016462,0.172621965,1.552178383,-0.055659473,-0.168219343,10.404365540
100000200000000,-0.012131865,0.181581497,1.359804392,-0.051009901,-0.159258381,10.383114815
100000210000000,-0.010006972,0.189835966,1.178761840,-0.046958335,-0.148773968,10.362265587
100000220000000,-0.007700328,0.197341293,1.010370374,-0.043439623,-0.137282223,10.341829300
100000230000000,-0.005273742,0.204063103,0.855444014,-0.040375028,-0.125229031,10.321800232
100000240000000,-0.002789652,0.209977761,0.714374304,-0.037692003,-0.112982549,10.302183151
100000250000000,-0.000308752,0.215070635,0.587200165,-0.035310775,-0.100848272,10.282979012
100000260000000,0.002111477,0.219335973,0.473678768,-0.033166405,-0.089067586,10.264172554
100000270000000,0.004418611,0.222777158,0.373347104,-0.031203516,-0.077826105,10.245775223
100000280000000,0.006566254,0.225404218,0.285570681,-0.029365905,-0.067261934,10.227785110
100000290000000,0.008514832,0.227235034,0.209593758,-0.027641211,-0.057467312,10.210186005
100000300000000,0.010232358,0.228291765,0.144574270,-0.025983319,-0.048505627,10.192981720
100000310000000,0.011694288,0.228601918,0.089620776,-0.024361160,-0.040400848,10.176177025
100000320000000,0.012883746,0.228198916,0.043821149,-0.022802467,-0.033154353,10.159754753
