#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,-0.000000,0.000000,0.497057,1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.196200
100000010000000,-0.000000,0.000000,0.495095,1.000000,0.000000,0.000002,-0.000000,0.000000,-0.000000,-0.196200
100000020000000,-0.000001,0.000077,0.493234,0.999988,-0.000006,0.000018,0.004818,-0.000001,-0.000020,-0.186115
100000030000000,-0.000005,0.000213,0.491470,0.999910,-0.000020,0.000057,0.013412,0.000002,-0.000034,-0.176274
100000040000000,-0.000015,0.000395,0.489802,0.999690,-0.000042,0.000127,0.024879,0.000014,-0.000041,-0.166678
100000050000000,-0.000032,0.000610,0.488227,0.999261,-0.000074,0.000235,0.038442,0.000043,-0.000040,-0.157328
100000060000000,-0.000059,0.000847,0.486743,0.998571,-0.000116,0.000385,0.053436,0.000094,-0.000029,-0.148225
100000070000000,-0.000096,0.001096,0.485346,0.997596,-0.000169,0.000584,0.069297,0.000177,-0.000003,-0.139369
100000080000000,-0.000143,0.001350,0.484034,0.996333,-0.000235,0.000833,0.085552,0.000301,0.000040,-0.130759
100000090000000,-0.000199,0.001603,0.482805,0.994803,-0.000314,0.001136,0.101812,0.000476,0.000105,-0.122396
100000100000000,-0.000261,0.001850,0.481657,0.993041,-0.000407,0.001494,0.117763,0.000712,0.000198,-0.114277
100000110000000,-0.000328,0.002086,0.480586,0.991093,-0.000514,0.001909,0.133153,0.001018,0.000324,-0.106402
100000120000000,-0.000398,0.002309,0.479590,0.989015,-0.000635,0.002381,0.147794,0.001405,0.000488,-0.098769
100000130000000,-0.000466,0.002518,0.478668,0.986860,-0.000771,0.002909,0.161548,0.001883,0.000699,-0.091375
100000140000000,-0.000532,0.002712,0.477816,0.984682,-0.000920,0.003494,0.174320,0.002462,0.000963,-0.084220
100000150000000,-0.000591,0.002891,0.477033,0.982530,-0.001082,0.004134,0.186053,0.003151,0.001285,-0.077300
100000160000000,-0.000642,0.003055,0.476315,0.980446,-0.001256,0.004827,0.196725,0.003960,0.001674,-0.070613
100000170000000,-0.000682,0.003205,0.475662,0.978464,-0.001442,0.005572,0.206336,0.004898,0.002135,-0.064156
100000180000000,-0.000709,0.003343,0.475070,0.976612,-0.001637,0.006365,0.214908,0.005973,0.002673,-0.057926
100000190000000,-0.000720,0.003471,0.474537,0.974909,-0.001842,0.007206,0.222480,0.007194,0.003295,-0.051920
100000200000000,-0.000714,0.003591,0.474062,0.973367,-0.002054,0.008090,0.229102,0.008567,0.004006,-0.046136
100000210000000,-0.000689,0.003704,0.473642,0.971991,-0.002272,0.009014,0.234833,0.010102,0.004808,-0.040568
100000220000000,-0.000642,0.003813,0.473275,0.970783,-0.002496,0.009975,0.239738,0.011803,0.005707,-0.035216
100000230000000,-0.000574,0.003920,0.472958,0.969738,-0.002723,0.010970,0.243885,0.013679,0.006704,-0.030074
100000240000000,-0.000480,0.004028,0.472691,0.968849,-0.002954,0.011994,0.247344,0.015734,0.007803,-0.025140
100000250000000,-0.000361,0.004138,0.472471,0.968105,-0.003186,0.013044,0.250184,0.017974,0.009004,-0.020410
100000260000000,-0.000215,0.004253,0.472296,0.967495,-0.003419,0.014116,0.252472,0.020402,0.010310,-0.015881
100000270000000,-0.000039,0.004375,0.472164,0.967006,-0.003653,0.015206,0.254273,0.023024,0.011720,-0.011549
100000280000000,0.000168,0.004506,0.472073,0.966624,-0.003886,0.016309,0.255648,0.025841,0.013235,-0.007410
100000290000000,0.000407,0.004648,0.472022,0.966337,-0.004118,0.017422,0.256656,0.028857,0.014855,-0.003461
100000300000000,0.000681,0.004802,0.472008,0.966131,-0.004349,0.018541,0.257349,0.032073,0.016579,0.000302
100000310000000,0.000991,0.004972,0.472031,0.965994,-0.004578,0.019661,0.257775,0.035490,0.018406,0.003882
