#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,0.002238451,-0.000092532,0.002296786,-0.007013521,0.003277627,0.005134750
100000010000000,-0.001847901,-0.001401451,0.003711978,-0.012777993,-0.000919798,9.809925079
100000020000000,-0.002240181,0.011760700,0.970650852,-0.029485546,0.777258337,10.807572365
100000030000000,-0.007267967,0.022550570,1.729976773,-0.051280979,0.592819989,10.777953148
100000040000000,-0.008583191,0.042286448,2.311909676,-0.083272979,0.450235635,10.754908562
100000050000000,-0.015431223,0.065426640,2.740077257,-0.114653140,0.312661350,10.728982925
100000060000000,-0.025818078,0.097764008,3.033890963,-0.147036940,0.216101333,10.702306747
100000070000000,-0.030490061,0.127566889,3.207341909,-0.164891645,0.117969155,10.674506187
100000080000000,-0.038451847,0.160611629,3.296476603,-0.166009888,0.024017416,10.654092789
100000090000000,-0.048662163,0.191435218,3.296058655,-0.172372788,-0.039985161,10.630380630
100000100000000,-0.056167435,0.231795222,3.239159822,-0.188286960,-0.094322756,10.605964661
100000110000000,-0.063043617,0.268729240,3.129934549,-0.170582473,-0.130516902,10.576660156
100000120000000,-0.073041886,0.304911315,2.983182907,-0.179504260,-0.163843006,10.564903259
100000130000000,-0.077997848,0.339702159,2.815936089,-0.172927380,-0.189525932,10.533061028
100000140000000,-0.078667395,0.379546553,2.621733665,-0.156001538,-0.209702015,10.514397621
100000150000000,-0.084050909,0.415161163,2.407917738,-0.155551001,-0.196890697,10.487318993
100000160000000,-0.079179727,0.447284043,2.196578026,-0.153850704,-0.213703766,10.489320755
100000170000000,-0.084456287,0.481343895,1.981569171,-0.151045442,-0.206979364,10.464809418
100000180000000,-0.077775963,0.511187196,1.771772742,-0.136858746,-0.197130948,10.446550369
100000190000000,-0.075698726,0.534312904,1.568862200,-0.112748727,-0.193469256,10.427042961
100000200000000,-0.069726653,0.555053353,1.375697374,-0.120921120,-0.178118914,10.416894913
100000210000000,-0.058807462,0.579712033,1.192296386,-0.115295112,-0.163434803,10.400204659
100000220000000,-0.052716065,0.601157963,1.020404220,-0.114587098,-0.142792135,10.375116348
100000230000000,-0.047817685,0.614048421,0.864218116,-0.113178231,-0.124127895,10.369427681
100000240000000,-0.033683337,0.624585032,0.723068714,-0.086965889,-0.114691645,10.352431297
100000250000000,-0.029552341,0.633284211,0.593260527,-0.090771332,-0.109248057,10.353813171
100000260000000,-0.018274551,0.647439718,0.477199972,-0.079129718,-0.086952180,10.330357552
100000270000000,-0.005665403,0.648919523,0.381869674,-0.084275723,-0.083717912,10.332494736
100000280000000,0.000017568,0.655185819,0.295875937,-0.069204301,-0.061895162,10.321281433
100000290000000,0.006565465,0.647672772,0.214174062,-0.060390234,-0.036576390,10.314435959
100000300000000,0.017360963,0.642659366,0.150562599,-0.062560260,-0.048950404,10.284034729
100000310000000,0.026051896,0.639900744,0.097913489,-0.059925117,-0.043169677,10.284325600
100000320000000,0.030735977,0.630058825,0.046651356,-0.052579802,-0.027949929,10.289131165
100000330000000,0.038570218,0.613275945,0.012220414,-0.038758811,-0.012597293,10.256545067
100000340000000,0.038646612,0.605582833,-0.016394420,-0.032152914,-0.003499120,10.272861481
100000350000000,0.044634569,0.588176191,-0.047346443,-0.035613388,-0.004554838,10.249162674
100000360000000,0.045723584,0.572567165,-0.062280983,-0.035371356,0.010681897,10.236026764
100000370000000,0.043957010,0.555385888,-0.078841008,-0.023657389,-0.001216382,10.220867157
100000380000000,0.046461631,0.535532951,-0.084083870,-0.012698218,-0.006366342,10.215517044
100000390000000,0.052052923,0.515412867,-0.089847483,-0.005797394,0.004618138,10.198598862
100000400000000,0.050969712,0.491196722,-0.090626076,-0.003432095,0.002290338,10.195506096
100000410000000,0.048987485,0.464981526,-0.089192182,0.002083763,0.013378203,10.195406914
100000420000000,0.045904789,0.442153573,-0.089837126,0.004037321,-0.000233650,10.177461624
100000430000000,0.046161037,0.419318378,-0.091296695,0.001440465,0.007299900,10.156614304
100000440000000,0.040131524,0.398018688,-0.080655590,0.014937662,0.004907608,10.151035309
100000450000000,0.038844507,0.367882520,-0.075898975,0.008467376,0.003479868,10.153429985
100000460000000,0.039054770,0.339626610,-0.074702948,0.011995345,0.011597425,10.126964569
100000470000000,0.036966246,0.318837792,-0.062319674,0.014331862,-0.004805505,10.121229172
100000480000000,0.030067494,0.287414670,-0.062075347,0.018583037,0.000890732,10.112146378
100000490000000,0.022831758,0.266661316,-0.056233086,0.024395399,-0.008248150,10.094701767
100000500000000,0.027384503,0.240823075,-0.047317598,0.028038383,0.004459381,10.087914467
100000510000000,0.018811114,0.208726674,-0.046451394,0.029890202,-0.000577986,10.091935158
100000520000000,0.015282674,0.189642116,-0.037789825,0.036466584,-0.001896679,10.071065903
100000530000000,0.016541420,0.168441743,-0.026596013,0.028109938,-0.002721310,10.077925682
100000540000000,0.011014916,0.141425386,-0.033705626,0.041401118,0.008361578,10.049522400
100000550000000,0.008366441,0.120984681,-0.025882157,0.051579207,-0.015234888,10.036077499
100000560000000,0.004479148,0.089397699,-0.019866928,0.041709498,-0.002438784,10.038250923
100000570000000,-0.004323501,0.069581971,-0.021970587,0.037295297,-0.003932774,10.027737617
100000580000000,-0.002988808,0.041870840,-0.013920084,0.040069759,-0.001513898,10.026523590
100000590000000,-0.007909162,0.027229672,-0.011124827,0.035581991,0.000628710,10.022418976
100000600000000,-0.006971045,0.003162269,-0.008112417,0.034993544,-0.010771096,9.996369362
100000610000000,-0.007764924,-0.014565042,-0.014722880,0.032458112,0.000296891,10.001376152
100000620000000,-0.017049901,-0.032036401,-0.008032292,0.039322615,-0.005880475,9.996977806
100000630000000,-0.014879203,-0.053757772,-0.004637286,0.044152439,-0.010001242,9.982069016
100000640000000,-0.014829761,-0.068678364,-0.008575381,0.032338127,0.006416321,9.973004341
100000650000000,-0.021727899,-0.083987802,-0.002833094,0.039507866,-0.002061069,9.971902847
100000660000000,-0.021853670,-0.102514677,0.000451558,0.054091811,-0.011271238,9.958898544
100000670000000,-0.020144589,-0.115463197,-0.006991464,0.046380907,-0.004059553,9.963186264
100000680000000,-0.020754559,-0.129109398,-0.004151590,0.036269158,-0.006081164,9.951245308
100000690000000,-0.019996742,-0.141841948,-0.000771714,0.049988419,0.002351761,9.946486473
100000700000000,-0.025550103,-0.155297890,-0.003491999,0.040509760,0.003879011,9.947117805
100000710000000,-0.027799930,-0.164642379,-0.001291419,0.042936832,-0.006047964,9.925261497
100000720000000,-0.023189880,-0.177984431,0.001610067,0.046820208,-0.002656698,9.937838554
100000730000000,-0.023300024,-0.185394406,-0.001732208,0.043639168,-0.001150697,9.923139572
100000740000000,-0.029106565,-0.197605312,0.002712844,0.034504481,-0.006005466,9.913262367
100000750000000,-0.023990067,-0.208476052,0.000474077,0.031462029,-0.009222150,9.904864311
100000760000000,-0.025750602,-0.215045944,0.000558538,0.025689021,0.001444310,9.901927948
100000770000000,-0.024051726,-0.220721975,0.001649196,0.049708195,0.003872752,9.918496132
100000780000000,-0.022861179,-0.228041157,-0.002967655,0.032592498,-0.001197278,9.908725739
100000790000000,-0.020214485,-0.237661481,-0.003938634,0.035447747,-0.000971615,9.893534660
100000800000000,-0.019044204,-0.244102940,-0.005126905,0.029310964,0.003473163,9.901233673
100000810000000,-0.015460481,-0.247343689,-0.003878991,0.031728432,0.004753977,9.896931648
100000820000000,-0.023922630,-0.251630127,-0.008747735,0.033345222,0.003087759,9.886455536
100000830000000,-0.015847526,-0.257016778,-0.001383467,0.037122443,0.011666745,9.879909515
100000840000000,-0.020249113,-0.260722965,-0.003795055,0.037913024,-0.007428199,9.883846283
100000850000000,-0.019367082,-0.263036370,-0.002424178,0.029631771,0.003869176,9.880855560
100000860000000,-0.012410142,-0.270957708,-0.003214476,0.031673200,0.000078231,9.894777298
100000870000000,-0.019158784,-0.264403135,0.003304000,0.037422083,0.012026846,9.864851952
100000880000000,-0.014009237,-0.273016274,0.000071310,0.037693694,0.001567662,9.875153542
100000890000000,-0.014267191,-0.276944488,-0.004573728,0.033527106,-0.004552811,9.864217758
100000900000000,-0.011878650,-0.277683169,0.002655831,0.036552310,-0.002458751,9.874403000
100000910000000,-0.011275818,-0.285004973,0.000018102,0.033574566,-0.003908724,9.872050285
100000920000000,-0.007062702,-0.280629307,-0.000214150,0.029695444,0.002821445,9.857473373
100000930000000,-0.008339980,-0.285262287,-0.004542914,0.036777735,-0.000052363,9.859526634
100000940000000,-0.002738753,-0.271345556,-0.003273449,0.025447719,0.007696122,9.847715378
100000950000000,-0.005824924,-0.284748435,-0.005501783,0.024149373,-0.003463626,9.849722862
100000960000000,-0.012435284,-0.284330636,-0.000660036,0.032465056,-0.000731200,9.857115746
100000970000000,-0.007499186,-0.284389675,0.000626958,0.019145921,0.004071414,9.842880249
100000980000000,-0.004580068,-0.285751879,-0.000081076,0.035186343,0.009407490,9.856910706
100000990000000,-0.002689288,-0.285763055,-0.002788858,0.029066972,0.007013440,9.840532303
100001000000000,-0.007136474,-0.284213930,-0.001035048,0.037856720,0.004388183,9.848649979
100001010000000,-0.002321705,-0.285088092,0.002129924,0.032762669,0.004929274,9.863759041
100001020000000,0.006723558,-0.288010001,-0.000331264,0.029261231,-0.001792699,9.828001976
100001030000000,0.000402038,-0.284484386,-0.005345880,0.038665667,0.009751230,9.833026886
100001040000000,-0.000372618,-0.286648035,-0.002451336,0.028072037,0.003710866,9.839682579
100001050000000,0.000782292,-0.287972122,-0.000366798,0.032265030,0.006278545,9.841099739
100001060000000,0.001215944,-0.288074523,-0.003025108,0.027231440,-0.006525189,9.842126846
100001070000000,0.005967184,-0.288198143,0.002229416,0.025681026,0.009515554,9.828670502
100001080000000,0.003246806,-0.289487690,-0.004532069,0.018877797,0.001050800,9.835296631
100001090000000,0.001912225,-0.290348887,-0.006679211,0.019482911,0.008363485,9.840243340
100001100000000,0.000613970,-0.287058890,-0.000608044,0.020737417,-0.004702091,9.825607300
100001110000000,0.005112830,-0.287907481,0.000160420,0.042665116,0.009424478,9.830835342
100001120000000,0.006196225,-0.285931826,0.000455908,0.030045487,-0.001094341,9.830249786
100001130000000,0.008744034,-0.293708563,-0.003101052,0.025511131,-0.006953105,9.823596954
100001140000000,0.009438860,-0.287753224,-0.003683558,0.018590197,0.001750633,9.816315651
100001150000000,0.008197656,-0.292594045,-0.000409805,0.029805131,-0.003954679,9.809335709
100001160000000,0.006212670,-0.289316237,-0.000637466,0.027434822,0.004573986,9.822461128
100001170000000,0.002506813,-0.291707665,-0.000314968,0.026740786,0.010551766,9.832432747
100001180000000,0.004281358,-0.288763732,-0.001279277,0.031667367,0.005422771,9.829921722
100001190000000,0.002240448,-0.294085056,0.004493406,0.021758948,0.011693925,9.821726799
100001200000000,-0.000059378,-0.293118060,0.003825432,0.036229536,0.002256766,9.816488266
100001210000000,0.006849443,-0.292100906,0.001515335,0.025949694,-0.006702781,9.807561874
100001220000000,0.004772532,-0.291737020,-0.002414201,0.022792380,-0.004685298,9.816078186
100001230000000,0.007811760,-0.290080637,-0.005092761,0.015776433,-0.005695984,9.818801880
100001240000000,0.008407966,-0.294227034,0.002583873,0.037801854,0.010238662,9.815652847
100001250000000,0.007128847,-0.293267578,0.004572310,0.030529354,0.000829175,9.808637619
100001260000000,0.011309052,-0.293130845,0.002337553,0.034247562,0.007479772,9.813717842
100001270000000,0.005003830,-0.293428123,-0.001237583,0.024273951,-0.008819714,9.813506126
100001280000000,0.007529959,-0.295576930,0.001596416,0.030442212,-0.010946617,9.824101448
100001290000000,0.002709469,-0.298864573,0.005513348,0.023156952,0.000764504,9.821659088
