#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,-0.000000,0.000000,0.497057,1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.196200
100000010000000,-0.000000,0.000000,0.495095,1.000000,0.000000,0.000002,-0.000000,0.000000,-0.000000,-0.196200
100000020000000,-0.000002,0.000077,0.493233,0.999988,-0.000013,0.000045,0.004863,-0.000001,-0.000020,-0.186115
100000030000000,-0.000009,0.000214,0.491469,0.999908,-0.000047,0.000159,0.013536,0.000008,-0.000033,-0.176274
100000040000000,-0.000024,0.000396,0.489798,0.999685,-0.000109,0.000373,0.025109,0.000042,-0.000034,-0.166677
100000050000000,-0.000050,0.000610,0.488220,0.999247,-0.000204,0.000708,0.038798,0.000123,-0.000017,-0.157324
100000060000000,-0.000089,0.000845,0.486730,0.998544,-0.000341,0.001183,0.053931,0.000276,0.000027,-0.148216
100000070000000,-0.000139,0.001091,0.485326,0.997549,-0.000524,0.001812,0.069940,0.000527,0.000110,-0.139351
100000080000000,-0.000202,0.001340,0.484006,0.996261,-0.000758,0.002606,0.086348,0.000908,0.000247,-0.130725
100000090000000,-0.000274,0.001586,0.482767,0.994699,-0.001048,0.003570,0.102761,0.001450,0.000456,-0.122337
100000100000000,-0.000352,0.001825,0.481606,0.992899,-0.001397,0.004710,0.118861,0.002185,0.000758,-0.114183
100000110000000,-0.000432,0.002053,0.480522,0.990908,-0.001806,0.006027,0.134397,0.003143,0.001174,-0.106258
100000120000000,-0.000511,0.002269,0.479513,0.988779,-0.002274,0.007520,0.149176,0.004358,0.001727,-0.098559
100000130000000,-0.000582,0.002471,0.478575,0.986569,-0.002801,0.009186,0.163060,0.005858,0.002444,-0.091079
100000140000000,-0.000642,0.002662,0.477708,0.984331,-0.003383,0.011022,0.175951,0.007673,0.003346,-0.083816
100000150000000,-0.000685,0.002841,0.476909,0.982114,-0.004017,0.013020,0.187795,0.009831,0.004460,-0.076764
100000160000000,-0.000705,0.003012,0.476176,0.979959,-0.004697,0.015174,0.198567,0.012357,0.005806,-0.069918
100000170000000,-0.000697,0.003178,0.475508,0.977901,-0.005419,0.017476,0.208266,0.015279,0.007408,-0.063276
100000180000000,-0.000657,0.003343,0.474903,0.975968,-0.006175,0.019916,0.216916,0.018618,0.009283,-0.056833
100000190000000,-0.000578,0.003510,0.474359,0.974177,-0.006960,0.022484,0.224554,0.022398,0.011448,-0.050586
100000200000000,-0.000456,0.003685,0.473874,0.972542,-0.007766,0.025169,0.231234,0.026639,0.013919,-0.044533
100000210000000,-0.000286,0.003872,0.473447,0.971066,-0.008587,0.027959,0.237012,0.031361,0.016707,-0.038672
100000220000000,-0.000061,0.004076,0.473077,0.969751,-0.009416,0.030842,0.241955,0.036582,0.019822,-0.033001
100000230000000,0.000223,0.004302,0.472760,0.968593,-0.010248,0.033804,0.246130,0.042317,0.023270,-0.027519
100000240000000,0.000571,0.004555,0.472497,0.967582,-0.011076,0.036832,0.249609,0.048581,0.027055,-0.022227
100000250000000,0.000990,0.004840,0.472285,0.966710,-0.011894,0.039914,0.252461,0.055386,0.031179,-0.017123
100000260000000,0.001485,0.005161,0.472123,0.965965,-0.012700,0.043035,0.254752,0.062742,0.035642,-0.012209
100000270000000,0.002061,0.005524,0.472008,0.965333,-0.013487,0.046181,0.256550,0.070656,0.040441,-0.007486
100000280000000,0.002724,0.005933,0.471940,0.964801,-0.014254,0.049339,0.257916,0.079136,0.045571,-0.002953
100000290000000,0.003480,0.006392,0.471916,0.964358,-0.014996,0.052497,0.258907,0.088182,0.051025,0.001387
100000300000000,0.004334,0.006906,0.471934,0.963990,-0.015712,0.055639,0.259579,0.097798,0.056798,0.005533
100000310000000,0.005293,0.007479,0.471994,0.963686,-0.016399,0.058756,0.259979,0.107980,0.062878,0.009485
