#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,0.001437737,0.001210047,-0.003942055,0.009017548,0.000380381,0.009179425
100000010000000,0.002086813,0.001667431,0.001112298,0.006394592,0.007293554,9.801559448
100000020000000,-0.001446086,0.000873788,1.608255863,-0.023139276,1.273079753,10.852994919
100000030000000,-0.010923313,0.005548858,2.921437740,-0.064188778,1.019663572,10.858166695
100000040000000,-0.017456075,0.003183299,3.998375177,-0.132717624,0.850378931,10.876066208
100000050000000,-0.026360197,0.013565414,4.913003922,-0.213103816,0.699997663,10.869445801
100000060000000,-0.033557951,0.023340743,5.681397915,-0.261864513,0.578190446,10.857589722
100000070000000,-0.048826344,0.022955436,6.351385593,-0.328838050,0.498590946,10.875555038
100000080000000,-0.059604481,0.020990638,6.937398434,-0.393602133,0.424422860,10.869502068
100000090000000,-0.077934995,0.037582450,7.449357510,-0.444359183,0.360342711,10.869590759
100000100000000,-0.096162952,0.047424927,7.908129215,-0.492598861,0.296783268,10.879384041
100000110000000,-0.115929872,0.052594595,8.290819168,-0.545343041,0.249316245,10.875088692
100000120000000,-0.140366659,0.064036302,8.623294830,-0.570960820,0.180594921,10.878225327
100000130000000,-0.155395031,0.073391587,8.892499924,-0.598157883,0.127048492,10.890117645
100000140000000,-0.180961341,0.082009092,9.092218399,-0.632643640,0.071958646,10.890489578
100000150000000,-0.206063211,0.091395214,9.225398064,-0.660394967,-0.000497881,10.889386177
100000160000000,-0.228034467,0.110115156,9.290427208,-0.651343524,-0.053873397,10.878694534
100000170000000,-0.245000780,0.130162537,9.275787354,-0.645035684,-0.114272289,10.888293266
100000180000000,-0.266514242,0.150537387,9.192606926,-0.629675865,-0.194303274,10.890927315
100000190000000,-0.285252661,0.171457350,9.026625633,-0.623845279,-0.247804075,10.899236679
100000200000000,-0.298856199,0.186005816,8.792204857,-0.579728127,-0.308825105,10.880016327
100000210000000,-0.308859110,0.208860934,8.492134094,-0.557739139,-0.340772331,10.888804436
100000220000000,-0.315477610,0.234608471,8.128064156,-0.500501275,-0.391675502,10.877001762
100000230000000,-0.318532228,0.252501100,7.717981815,-0.467699707,-0.433408320,10.895854950
100000240000000,-0.320300221,0.282617390,7.259862900,-0.437321901,-0.472647399,10.898127556
100000250000000,-0.310191929,0.306973070,6.778228760,-0.383516312,-0.492201626,10.903048515
100000260000000,-0.304185063,0.331549585,6.266890526,-0.335288703,-0.484690666,10.895341873
100000270000000,-0.295912892,0.355808496,5.739846230,-0.287058055,-0.488961041,10.902032852
100000280000000,-0.271125734,0.377750605,5.215963840,-0.259126991,-0.491068602,10.902592659
100000290000000,-0.256487995,0.403876483,4.693349361,-0.228685975,-0.472422391,10.918666840
100000300000000,-0.230708703,0.436428249,4.188097954,-0.185801893,-0.447380841,10.915534973
100000310000000,-0.209956676,0.444956750,3.702191830,-0.174436063,-0.424167335,10.923807144
100000320000000,-0.182469964,0.468312562,3.232419729,-0.148499906,-0.394669592,10.926388741
100000330000000,-0.155339539,0.484202504,2.802779198,-0.127296984,-0.360726058,10.929588318
100000340000000,-0.125739843,0.498110652,2.404918909,-0.118121445,-0.321332932,10.936957359
100000350000000,-0.098571911,0.508179665,2.028641701,-0.100088179,-0.288576365,10.926041603
100000360000000,-0.066501401,0.509584904,1.697304726,-0.079840541,-0.252198577,10.952753067
100000370000000,-0.038052998,0.512010336,1.391554952,-0.075745463,-0.214324802,10.967972755
