#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,-0.002568384,0.000767222,0.001861444,0.002178061,0.001330822,-0.005576103
100000010000000,-0.002343565,0.000802833,0.000282550,0.000611011,0.007940467,9.801462173
100000020000000,0.000796266,0.002977067,1.715487480,-0.024015425,1.372808218,10.828676224
100000030000000,-0.001376139,0.004330875,3.101344347,-0.089717120,1.100650191,10.804245949
100000040000000,-0.009854587,0.005057456,4.245549679,-0.150044501,0.922015727,10.776556015
100000050000000,-0.009561852,0.007777940,5.201217651,-0.222177163,0.756385386,10.777630806
100000060000000,-0.006540881,0.002604667,6.004769802,-0.290860146,0.639409363,10.753364563
100000070000000,-0.010735225,0.004536606,6.695139885,-0.354732275,0.533951938,10.744762421
100000080000000,-0.012541285,0.004499455,7.278452873,-0.425408036,0.463567227,10.702919006
100000090000000,-0.013974931,0.006925792,7.783142090,-0.480050176,0.393848836,10.695108414
100000100000000,-0.019645637,0.003442277,8.209497452,-0.526917696,0.333965242,10.666753769
100000110000000,-0.012027205,-0.000625332,8.558265686,-0.574722171,0.273990482,10.658176422
100000120000000,-0.016599979,0.006572169,8.838611603,-0.617569864,0.212621182,10.639165878
100000130000000,-0.024166543,0.001799250,9.041223526,-0.650621116,0.154571086,10.618699074
100000140000000,-0.021218952,0.005309951,9.172387123,-0.655982375,0.099491499,10.603408813
100000150000000,-0.025934864,0.008986952,9.221676826,-0.664062440,0.030446878,10.586091042
100000160000000,-0.015513138,-0.001912200,9.192272186,-0.680670500,-0.034274861,10.548837662
100000170000000,-0.025558624,0.011835124,9.100425720,-0.654749274,-0.093865596,10.546974182
100000180000000,-0.026428070,0.006999438,8.915133476,-0.631683052,-0.133004114,10.522534370
100000190000000,-0.023492347,0.010592534,8.664772034,-0.602880597,-0.196114153,10.518351555
100000200000000,-0.020482430,0.016764648,8.345656395,-0.554989815,-0.260576785,10.485898972
100000210000000,-0.022678738,0.019836739,7.973879337,-0.515048683,-0.306381911,10.467041969
100000220000000,-0.023011101,0.020341843,7.546879292,-0.456935376,-0.343194395,10.447470665
100000230000000,-0.021702982,0.029826026,7.086062431,-0.405412227,-0.367176294,10.444116592
100000240000000,-0.015704624,0.035914280,6.587791443,-0.356271237,-0.391436577,10.404179573
100000250000000,-0.012030249,0.040292684,6.077279091,-0.306677014,-0.413528144,10.400065422
100000260000000,-0.013974553,0.044817183,5.557065964,-0.259365082,-0.424451619,10.388120651
100000270000000,-0.010275646,0.054108199,5.025851250,-0.210241288,-0.427615106,10.372584343
100000280000000,-0.003312066,0.056634035,4.511570454,-0.183610693,-0.400785595,10.345092773
100000290000000,-0.000157263,0.061655898,4.016955376,-0.136726931,-0.412004471,10.340635300
100000300000000,0.000706062,0.066278540,3.532339573,-0.112243146,-0.381139815,10.327071190
100000310000000,0.006003305,0.076708496,3.079415321,-0.097074680,-0.347152829,10.315045357
100000320000000,0.008652519,0.078599662,2.652766943,-0.069624215,-0.326090932,10.299732208
100000330000000,0.009588497,0.082749166,2.263221741,-0.064354897,-0.306498617,10.274187088
100000340000000,0.015929129,0.087233409,1.901827812,-0.057946794,-0.277944416,10.275165558
100000350000000,0.016646493,0.091573969,1.579177499,-0.043793198,-0.254662752,10.269021988
100000360000000,0.021343932,0.089682803,1.291727543,-0.042523865,-0.242346749,10.256017685
100000370000000,0.023746245,0.094275974,1.026438951,-0.022001408,-0.208402395,10.233602524
100000380000000,0.019649912,0.101407267,0.799251914,-0.015795149,-0.173332080,10.237953186
100000390000000,0.016609356,0.104040965,0.602614999,-0.023958743,-0.163047284,10.208953857
100000400000000,0.022772320,0.105190195,0.432696432,-0.010914698,-0.122953139,10.192728996
100000410000000,0.027806280,0.108922891,0.284777254,-0.020236388,-0.108639881,10.195278168
100000420000000,0.019809075,0.104225419,0.155442476,-0.013910636,-0.086953394,10.177940369
100000430000000,0.023328863,0.102079399,0.063280717,-0.009568363,-0.071813688,10.179708481
100000440000000,0.023845822,0.106612742,-0.026012458,-0.018125683,-0.060193308,10.179178238
100000450000000,0.020346116,0.108056910,-0.082890406,-0.010165244,-0.050565116,10.166662216
100000460000000,0.023360981,0.104668394,-0.134250805,-0.009837240,-0.036216274,10.156095505
100000470000000,0.019623801,0.108244196,-0.174287602,-0.004417136,-0.039014325,10.145038605
100000480000000,0.019543128,0.102854803,-0.201668531,-0.008207187,-0.030143052,10.145801544
100000490000000,0.016397687,0.100374550,-0.217254534,-0.006205097,-0.018943444,10.123063087
100000500000000,0.016383534,0.097274810,-0.229809269,-0.016986266,-0.005543038,10.119550705
100000510000000,0.008573725,0.095145896,-0.232859939,-0.007352293,-0.001854613,10.106275558
100000520000000,0.006354781,0.096895143,-0.226209670,-0.001158834,0.007258847,10.101070404
100000530000000,0.003847764,0.093662664,-0.225906163,-0.000904575,-0.004624039,10.099707603
100000540000000,0.004901456,0.086457327,-0.216426045,0.005178213,0.000639021,10.105562210
100000550000000,-0.003305331,0.083973564,-0.203152597,0.002898633,-0.000174344,10.103797913
100000560000000,-0.000894141,0.081009500,-0.192051232,0.001262754,0.007951170,10.098616600
100000570000000,0.003780254,0.081719860,-0.173003435,-0.002408072,0.010415867,10.083972931
100000580000000,-0.002614403,0.076987766,-0.163628072,-0.011688352,0.006687224,10.073890686
100000590000000,-0.007829835,0.072501674,-0.149770811,0.002039626,0.015760884,10.081336975
100000600000000,-0.014534829,0.070216537,-0.125101805,0.009807646,0.021333396,10.076112747
100000610000000,-0.014258171,0.067208774,-0.115495346,0.004711807,0.006310627,10.069290161
100000620000000,-0.016682226,0.065710746,-0.097190127,0.006043434,0.001530513,10.061331749
100000630000000,-0.016879488,0.058478512,-0.085934669,-0.004457653,0.012863934,10.066502571
100000640000000,-0.017700743,0.053728700,-0.074303672,-0.003608972,0.005164966,10.064922333
100000650000000,-0.022311505,0.050952431,-0.064985350,0.001156747,0.014384195,10.064282417
100000660000000,-0.025164166,0.047608145,-0.060509272,0.009947449,-0.003591731,10.054758072
100000670000000,-0.026804807,0.041527599,-0.045329064,0.001401573,0.010518700,10.061063766
100000680000000,-0.021219773,0.046898849,-0.036036126,0.001496136,-0.000383362,10.048904419
100000690000000,-0.027169246,0.039322358,-0.032894578,-0.000745624,0.006967977,10.052902222
100000700000000,-0.024272237,0.037673458,-0.019791266,-0.003870368,-0.002450049,10.060527802
100000710000000,-0.026306083,0.035256505,-0.019934773,0.001683593,-0.000166863,10.054388046
100000720000000,-0.027257772,0.031630468,-0.012738690,0.019020617,-0.009815365,10.055562973
100000730000000,-0.020502066,0.025026562,-0.007543688,0.012935102,0.007470638,10.060646057
100000740000000,-0.026168291,0.020410184,-0.004476056,0.003716886,0.009060442,10.056789398
100000750000000,-0.026902970,0.027978808,0.004450790,-0.000712425,-0.002894878,10.047788620
100000760000000,-0.022871882,0.022635423,0.001657180,0.011775255,0.004463345,10.059310913
100000770000000,-0.024425430,0.023774134,0.000300121,0.008309960,-0.000416785,10.059946060
100000780000000,-0.025324471,0.017418277,0.004814756,0.002364099,0.000700429,10.044300079
100000790000000,-0.018458946,0.010198246,0.003400536,0.000333279,0.000819862,10.055008888
100000800000000,-0.020675167,0.010568358,0.006361528,-0.002324551,-0.009346321,10.049482346
100000810000000,-0.024620965,0.008603952,0.008242501,0.004617423,0.000064120,10.055366516
100000820000000,-0.021584461,0.007255568,0.004745015,0.001274824,0.000849530,10.051670074
100000830000000,-0.018878695,0.012633020,0.003970356,0.008082390,0.010204464,10.048242569
100000840000000,-0.017209472,0.003550366,0.006542388,0.007764161,-0.007574469,10.051483154
100000850000000,-0.014427543,0.005296963,0.003869144,0.001407474,-0.005478695,10.047411919
100000860000000,-0.017516715,0.003316318,0.004849433,0.012412608,0.003015816,10.052790642
100000870000000,-0.012954958,0.004018629,0.001184919,0.005689651,0.011958942,10.056905746
100000880000000,-0.013336993,0.000816839,0.006484146,0.007572591,0.006518856,10.050350189
100000890000000,-0.013157722,0.001487323,0.003132088,-0.004727095,0.003014684,10.054960251
100000900000000,-0.005914567,-0.003237420,0.002325384,0.011704952,0.001895219,10.066492081
100000910000000,-0.011797244,-0.003922652,0.005757757,-0.000178576,0.004033163,10.077550888
100000920000000,-0.008739512,-0.005228539,0.002709541,0.000664949,-0.001249701,10.064690590
100000930000000,-0.011447150,-0.001505032,0.002414629,0.005434602,-0.012194574,10.065455437
100000940000000,-0.007169018,-0.005023025,0.007757465,-0.002503037,0.004720643,10.070394516
100000950000000,-0.000042798,-0.002014756,-0.000639691,0.006324619,0.001918241,10.075569153
100000960000000,-0.002507018,-0.004650569,0.004723290,0.004492909,0.002224118,10.066451073
100000970000000,-0.006446331,-0.007270946,-0.000653914,0.001629770,0.013299301,10.066320419
100000980000000,-0.002207033,-0.002286508,0.006874199,0.001974553,-0.001915440,10.076152802
100000990000000,-0.001055777,-0.005976053,0.002801290,0.005048543,0.009073794,10.082281113
100001000000000,-0.003253353,-0.004830305,-0.000165062,-0.007546872,0.012955561,10.073467255
100001010000000,0.000375810,-0.002861662,0.000636027,-0.010232925,-0.002674460,10.071482658
100001020000000,0.002489919,-0.007317825,-0.000867177,-0.000196844,-0.004144341,10.097518921
100001030000000,-0.000913423,-0.008800142,-0.008734660,-0.011459738,0.008281454,10.090419769
100001040000000,-0.001902336,-0.012854033,-0.000093683,-0.002476931,-0.003981814,10.084751129
100001050000000,0.005958789,-0.006006632,-0.002890227,-0.004067600,-0.007234946,10.084128380
100001060000000,0.004761749,-0.005474110,0.009886162,-0.000012696,-0.000653267,10.088506699
100001070000000,0.005047349,-0.008589822,0.001826336,0.003282309,-0.001299500,10.090312004
100001080000000,0.005218404,-0.007036882,-0.000215710,0.006819010,0.000518993,10.093902588
100001090000000,0.004504807,-0.006979638,-0.005046832,0.004649907,-0.005020723,10.086639404
100001100000000,0.009364381,-0.005575881,0.000922615,-0.001047790,0.015642643,10.106399536
100001110000000,0.004908799,-0.006908928,-0.000756581,0.004147500,-0.003805205,10.102413177
100001120000000,-0.002587643,-0.007288190,-0.002743088,-0.003318071,0.006328762,10.111454964
100001130000000,0.004005964,-0.006888334,0.003102059,-0.004736662,0.005235165,10.108112335
100001140000000,0.007882117,-0.008833024,-0.003270923,0.007007897,-0.001960739,10.106975555
100001150000000,0.008256810,-0.010221759,0.005053907,-0.003598481,-0.002940163,10.124286652
100001160000000,0.003414050,-0.007963030,0.006072227,-0.005308568,-0.000493392,10.102474213
100001170000000,0.008471010,-0.008260748,-0.000239991,-0.014527857,0.004381046,10.105655670
100001180000000,0.006861617,-0.006366310,0.000709752,0.007756084,0.006523892,10.122732162
100001190000000,0.005296489,-0.003806077,0.001439692,-0.008245051,0.005135700,10.114689827
100001200000000,0.004835878,-0.009418203,-0.002859125,0.001580626,0.009725168,10.118676186
100001210000000,0.001256737,-0.005106169,0.002724920,-0.000580937,-0.000869900,10.118850708
100001220000000,0.007336662,-0.008465132,0.001933298,-0.002520114,-0.002361730,10.134162903
