#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,-0.000000,0.000000,0.497057,1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.196200
100000010000000,-0.000000,0.000000,0.495095,1.000000,0.000000,0.000002,-0.000000,0.000000,-0.000000,-0.196200
100000020000000,-0.000002,0.000136,0.493234,0.999963,-0.000008,0.000008,0.008572,-0.000003,-0.000035,-0.186056
100000030000000,-0.000010,0.000383,0.491473,0.999710,-0.000024,0.000017,0.024093,-0.000001,-0.000062,-0.176096
100000040000000,-0.000034,0.000721,0.489810,0.998973,-0.000048,0.000029,0.045319,0.000004,-0.000081,-0.166324
100000050000000,-0.000083,0.001132,0.488242,0.997456,-0.000081,0.000044,0.071279,0.000016,-0.000089,-0.156740
100000060000000,-0.000165,0.001602,0.486768,0.994867,-0.000121,0.000060,0.101194,0.000032,-0.000087,-0.147346
100000070000000,-0.000290,0.002120,0.485386,0.990925,-0.000171,0.000077,0.134417,0.000053,-0.000073,-0.138143
100000080000000,-0.000465,0.002672,0.484095,0.985377,-0.000229,0.000095,0.170385,0.000077,-0.000044,-0.129132
100000090000000,-0.000695,0.003247,0.482891,0.978004,-0.000297,0.000111,0.208585,0.000103,0.000001,-0.120313
100000100000000,-0.000986,0.003832,0.481773,0.968625,-0.000373,0.000126,0.248528,0.000128,0.000064,-0.111686
100000110000000,-0.001338,0.004415,0.480740,0.957107,-0.000459,0.000140,0.289732,0.000151,0.000148,-0.103250
100000120000000,-0.001752,0.004984,0.479789,0.943378,-0.000551,0.000153,0.331719,0.000168,0.000253,-0.095005
100000130000000,-0.002226,0.005527,0.478918,0.927426,-0.000652,0.000164,0.374007,0.000176,0.000380,-0.086950
100000140000000,-0.002754,0.006032,0.478126,0.909310,-0.000758,0.000175,0.416118,0.000171,0.000530,-0.079083
100000150000000,-0.003329,0.006491,0.477411,0.889164,-0.000869,0.000187,0.457588,0.000151,0.000703,-0.071404
100000160000000,-0.003942,0.006896,0.476770,0.867192,-0.000985,0.000202,0.497974,0.000113,0.000899,-0.063910
100000170000000,-0.004582,0.007241,0.476202,0.843662,-0.001105,0.000222,0.536873,0.000054,0.001115,-0.056599
100000180000000,-0.005237,0.007523,0.475705,0.818902,-0.001229,0.000249,0.573932,-0.000027,0.001353,-0.049470
100000190000000,-0.005896,0.007743,0.475278,0.793277,-0.001356,0.000285,0.608860,-0.000131,0.001611,-0.042519
100000200000000,-0.006546,0.007903,0.474918,0.767177,-0.001488,0.000333,0.641433,-0.000258,0.001889,-0.035745
100000210000000,-0.007178,0.008008,0.474624,0.741001,-0.001625,0.000396,0.671502,-0.000409,0.002188,-0.029145
100000220000000,-0.007782,0.008065,0.474393,0.715132,-0.001769,0.000475,0.698987,-0.000582,0.002509,-0.022715
100000230000000,-0.008353,0.008081,0.474226,0.689929,-0.001921,0.000573,0.723874,-0.000778,0.002854,-0.016453
100000240000000,-0.008884,0.008064,0.474119,0.665708,-0.002082,0.000691,0.746209,-0.000995,0.003226,-0.010356
100000250000000,-0.009374,0.008023,0.474070,0.642735,-0.002255,0.000830,0.766084,-0.001234,0.003629,-0.004419
100000260000000,-0.009819,0.007966,0.474080,0.621224,-0.002440,0.000991,0.783628,-0.001493,0.004068,0.001359
100000270000000,-0.010222,0.007900,0.474145,0.601330,-0.002640,0.001173,0.798996,-0.001774,0.004548,0.006982
100000280000000,-0.010583,0.007833,0.474265,0.583151,-0.002855,0.001378,0.812357,-0.002076,0.005073,0.012455
100000290000000,-0.010904,0.007769,0.474437,0.566740,-0.003086,0.001603,0.823890,-0.002401,0.005650,0.017781
100000300000000,-0.011188,0.007714,0.474662,0.552099,-0.003334,0.001850,0.833770,-0.002748,0.006284,0.022963
100000310000000,-0.011440,0.007670,0.474936,0.539197,-0.003598,0.002116,0.842169,-0.003121,0.006981,0.028006
