#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,-0.000000000,-0.000000001,0.000000000,0.000000001,-0.000000001,-0.000001907
100000010000000,0.000048057,0.000452282,-0.000000019,-0.000946911,0.000100678,9.809637070
100000020000000,0.001404613,0.001022563,-0.946851969,-0.008208395,-0.752647102,10.823120117
100000030000000,0.003040877,0.001627326,-1.721894264,-0.024798298,-0.614772320,10.803746223
100000040000000,0.005018485,0.002235220,-2.372538328,-0.045923002,-0.514542580,10.784165382
100000050000000,0.007400609,0.002834926,-2.934258699,-0.069418952,-0.442430556,10.764397621
100000060000000,0.010249133,0.003425797,-3.433506250,-0.094359092,-0.391231656,10.744472504
100000070000000,0.013624887,0.004012885,-3.889888763,-0.120464541,-0.355482817,10.724417686
100000080000000,0.017586268,0.004605468,-4.317800522,-0.147774503,-0.331019729,10.704274178
100000090000000,0.022188390,0.005214555,-4.727619648,-0.176464051,-0.314636916,10.684072495
100000100000000,0.027481558,0.005853995,-5.126582623,-0.206739664,-0.303831130,10.663848877
100000110000000,0.033511233,0.006537352,-5.519421577,-0.238780335,-0.296601713,10.643630028
100000120000000,0.040311135,0.007279851,-5.908806324,-0.272685826,-0.291314632,10.623445511
100000130000000,0.047904179,0.008099654,-6.295662403,-0.308452845,-0.286591053,10.603330612
100000140000000,0.056298029,0.009017290,-6.679392815,-0.345945269,-0.281237394,10.583312988
100000150000000,0.065478638,0.010055062,-7.058019638,-0.384864837,-0.274186522,10.563430786
100000160000000,0.075408913,0.011243044,-7.428313732,-0.424735844,-0.264482260,10.543701172
100000170000000,0.086020671,0.012615122,-7.785899639,-0.464884341,-0.251259625,10.524164200
100000180000000,0.097213469,0.014214423,-8.125357628,-0.504436910,-0.233761400,10.504839897
100000190000000,0.108851224,0.016095143,-8.440410614,-0.542332828,-0.211362362,10.485763550
100000200000000,0.120758474,0.018322440,-8.724075317,-0.577346504,-0.183598652,10.466958046
100000210000000,0.132722557,0.020972840,-8.968959808,-0.608146667,-0.150216773,10.448439598
100000220000000,0.144500256,0.024138389,-9.167581558,-0.633373916,-0.111221254,10.430244446
100000230000000,0.155819714,0.027921472,-9.312706947,-0.651731551,-0.066908896,10.412382126
100000240000000,0.166392222,0.032429993,-9.397842407,-0.662103415,-0.017902635,10.394865036
100000250000000,0.175923362,0.037779529,-9.417610168,-0.663663030,0.034845740,10.377708435
100000260000000,0.184130877,0.044076085,-9.368193626,-0.655979216,0.090078816,10.360918999
100000270000000,0.190753907,0.051412802,-9.247655869,-0.639081419,0.146283537,10.344513893
100000280000000,0.195566729,0.059857078,-9.056194305,-0.613486767,0.201774612,10.328495026
100000290000000,0.198392004,0.069439769,-8.796239853,-0.580181420,0.254799306,10.312885284
100000300000000,0.199106529,0.080145150,-8.472370148,-0.540542841,0.303661197,10.297703743
100000310000000,0.197643101,0.091906890,-8.091133118,-0.496223688,0.346824110,10.282967567
100000320000000,0.193990633,0.104602933,-7.660687923,-0.449011147,0.383033067,10.268712997
