#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,-0.000000,0.000000,0.497057,1.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.196200
100000010000000,-0.000000,0.000000,0.495095,1.000000,0.000000,0.000002,-0.000000,0.000000,-0.000000,-0.196200
100000020000000,-0.000001,-0.000075,0.493234,0.999989,0.000007,0.000007,-0.004734,0.000003,0.000019,-0.186064
100000030000000,-0.000003,-0.000212,0.491473,0.999911,0.000022,0.000015,-0.013343,0.000007,0.000034,-0.176122
100000040000000,-0.000011,-0.000400,0.489809,0.999682,0.000047,0.000027,-0.025203,0.000013,0.000042,-0.166374
100000050000000,-0.000026,-0.000633,0.488241,0.999205,0.000084,0.000041,-0.039866,0.000022,0.000042,-0.156825
100000060000000,-0.000053,-0.000903,0.486765,0.998373,0.000136,0.000057,-0.057014,0.000034,0.000034,-0.147474
100000070000000,-0.000095,-0.001209,0.485382,0.997076,0.000204,0.000076,-0.076419,0.000050,0.000012,-0.138323
100000080000000,-0.000154,-0.001546,0.484088,0.995194,0.000291,0.000096,-0.097926,0.000069,-0.000025,-0.129374
100000090000000,-0.000236,-0.001911,0.482881,0.992601,0.000402,0.000118,-0.121421,0.000090,-0.000083,-0.120625
100000100000000,-0.000343,-0.002302,0.481759,0.989163,0.000539,0.000141,-0.146821,0.000112,-0.000165,-0.112077
100000110000000,-0.000481,-0.002717,0.480721,0.984735,0.000705,0.000164,-0.174060,0.000134,-0.000278,-0.103730
100000120000000,-0.000653,-0.003152,0.479764,0.979163,0.000905,0.000185,-0.203072,0.000152,-0.000428,-0.095582
100000130000000,-0.000864,-0.003605,0.478886,0.972287,0.001141,0.000204,-0.233789,0.000162,-0.000621,-0.087634
100000140000000,-0.001117,-0.004070,0.478085,0.963938,0.001418,0.000220,-0.266124,0.000160,-0.000865,-0.079884
100000150000000,-0.001417,-0.004544,0.477359,0.953948,0.001738,0.000232,-0.299968,0.000137,-0.001167,-0.072329
100000160000000,-0.001766,-0.005020,0.476706,0.942150,0.002105,0.000237,-0.335184,0.000087,-0.001533,-0.064969
100000170000000,-0.002169,-0.005492,0.476125,0.928390,0.002520,0.000234,-0.371598,-0.000001,-0.001972,-0.057800
100000180000000,-0.002625,-0.005953,0.475613,0.912530,0.002986,0.000221,-0.408998,-0.000139,-0.002488,-0.050822
100000190000000,-0.003136,-0.006395,0.475167,0.894461,0.003504,0.000198,-0.447133,-0.000340,-0.003087,-0.044029
100000200000000,-0.003700,-0.006810,0.474787,0.874110,0.004073,0.000163,-0.485711,-0.000619,-0.003773,-0.037421
100000210000000,-0.004315,-0.007190,0.474470,0.851454,0.004692,0.000114,-0.524408,-0.000992,-0.004547,-0.030994
100000220000000,-0.004974,-0.007527,0.474215,0.826527,0.005360,0.000053,-0.562872,-0.001476,-0.005408,-0.024744
100000230000000,-0.005672,-0.007816,0.474020,0.799427,0.006074,-0.000020,-0.600733,-0.002089,-0.006354,-0.018668
100000240000000,-0.006401,-0.008050,0.473882,0.770322,0.006830,-0.000105,-0.637618,-0.002848,-0.007379,-0.012763
100000250000000,-0.007150,-0.008228,0.473801,0.739449,0.007626,-0.000199,-0.673169,-0.003768,-0.008476,-0.007026
100000260000000,-0.007911,-0.008349,0.473775,0.707111,0.008455,-0.000298,-0.707052,-0.004866,-0.009635,-0.001452
100000270000000,-0.008672,-0.008414,0.473801,0.673665,0.009316,-0.000399,-0.738978,-0.006152,-0.010846,0.003961
100000280000000,-0.009426,-0.008429,0.473879,0.639516,0.010204,-0.000498,-0.768710,-0.007639,-0.012098,0.009218
100000290000000,-0.010162,-0.008400,0.474008,0.605089,0.011117,-0.000589,-0.796080,-0.009335,-0.013380,0.014321
100000300000000,-0.010876,-0.008335,0.474185,0.570823,0.012053,-0.000668,-0.820985,-0.011245,-0.014681,0.019274
