#timestamp [s],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
0.000000,-0.001745860,0.001042571,0.698215324,0.003369815,0.012649241,-9.786258038
0.005000,0.061690587,0.093597245,168.947880087,-0.000401238,-0.016414407,-9.788794905
0.010000,0.058508127,-0.080595235,14.388698070,-0.009737707,-0.001190385,-9.807013270
0.015000,0.058738612,-0.113821066,-17.641597456,-0.032747761,-0.018202390,-9.791086161
0.020000,0.053202463,-0.089644575,3.835083361,-0.019364721,-0.022969356,-9.789467745
0.025000,0.054829174,-0.083961979,9.514195685,-0.042985687,-0.030264046,-9.790739634
0.030000,0.058178942,-0.089217183,-1.193552847,-0.051680963,-0.047004840,-9.785202039
0.035000,0.055150531,-0.101700320,-7.354635533,-0.060573807,-0.036110760,-9.786684302
0.040000,0.057762322,-0.100079361,-2.335596914,-0.071092882,-0.046102510,-9.786599822
0.045000,0.058032542,-0.089301646,4.848047111,-0.088668308,-0.052161719,-9.784101250
0.050000,0.051697352,-0.088625239,4.850299697,-0.104045484,-0.057798736,-9.773434145
0.055000,0.059264123,-0.093523104,-0.765533900,-0.088877024,-0.061446566,-9.793984350
0.060000,0.062174111,-0.090268032,0.013741941,-0.116236225,-0.066250611,-9.778563602
0.065000,0.056999219,-0.091290263,0.010920809,-0.122789166,-0.067071659,-9.785509659
0.070000,0.058132513,-0.093102615,0.007754847,-0.128070966,-0.080428224,-9.786146413
0.075000,0.052441468,-0.089477755,0.011552656,-0.126046723,-0.082343624,-9.778392953
0.080000,0.055612000,-0.090706999,0.016091586,-0.142680028,-0.087465018,-9.778642445
0.085000,0.057298681,-0.091667112,0.012061450,-0.150535609,-0.085351009,-9.781452020
0.090000,0.060123808,-0.091880752,0.015855931,-0.158646923,-0.103760038,-9.771333940
0.095000,0.051785854,-0.091749756,0.015095634,-0.172713764,-0.094248955,-9.775291074
0.100000,0.055617858,-0.092022752,0.008706635,-0.184665607,-0.102949254,-9.769879712
0.105000,0.056090096,-0.089808967,0.009649702,-0.184222031,-0.106037273,-9.768831567
0.110000,0.053724051,-0.086620603,0.011748588,-0.205867569,-0.111647826,-9.781520392
0.115000,0.052679640,-0.089831364,0.012732949,-0.214935067,-0.124705565,-9.767480502
0.120000,0.052137935,-0.088639461,0.015412362,-0.214074204,-0.130177065,-9.772405994
0.125000,0.048607297,-0.095038514,0.009882036,-0.206402377,-0.135718958,-9.760785006
0.130000,0.057462639,-0.091698419,0.012858497,-0.248272328,-0.142567456,-9.769802113
0.135000,0.050011599,-0.087964355,0.015270318,-0.251197578,-0.154818980,-9.771147703
0.140000,0.051022371,-0.085177692,0.017914979,-0.246476474,-0.157431206,-9.774886846
0.145000,0.054406958,-0.084533471,0.013969203,-0.256580429,-0.155731271,-9.772233973
0.150000,0.044520334,-0.084684696,0.009758526,-0.269100154,-0.160585048,-9.761947096
0.155000,0.048062905,-0.084612297,0.013512189,-0.279559599,-0.157252063,-9.766954949
0.160000,0.048090203,-0.086834910,0.015505313,-0.296077062,-0.165010781,-9.759367789
0.165000,0.052886466,-0.086562342,0.011460249,-0.288444307,-0.173409338,-9.753016582
0.170000,0.052438578,-0.088686313,0.009495446,-0.308198096,-0.182528358,-9.752472710
0.175000,0.047082355,-0.087833503,0.013022635,-0.302315143,-0.181998248,-9.767333550
0.180000,0.048882933,-0.085767370,0.011267418,-0.308948090,-0.181247128,-9.755145205
0.185000,0.049106578,-0.087003171,0.012939680,-0.318977208,-0.201093627,-9.761358610
0.190000,0.050614361,-0.083863049,0.012967679,-0.328078407,-0.191449514,-9.751823953
