#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.005000,0.000000,-0.000000,0.000000,0.503660,-0.000279,-0.000004,-0.863902,0.000012,-0.000007,0.000003
0.010000,0.000000,-0.000000,0.000000,0.503632,-0.000557,-0.000007,-0.863918,0.000048,-0.000027,0.000010
0.015000,0.000001,-0.000000,0.000000,0.503605,-0.000834,-0.000010,-0.863934,0.000107,-0.000061,0.000024
0.020000,0.000001,-0.000001,0.000000,0.503577,-0.001110,-0.000014,-0.863949,0.000190,-0.000108,0.000042
0.025000,0.000002,-0.000001,0.000001,0.503550,-0.001386,-0.000017,-0.863965,0.000297,-0.000168,0.000065
0.030000,0.000004,-0.000002,0.000001,0.503523,-0.001660,-0.000020,-0.863980,0.000427,-0.000242,0.000094
0.035000,0.000007,-0.000004,0.000001,0.503495,-0.001934,-0.000023,-0.863996,0.000580,-0.000329,0.000128
0.040000,0.000010,-0.000006,0.000002,0.503468,-0.002207,-0.000026,-0.864011,0.000757,-0.000429,0.000167
0.045000,0.000014,-0.000008,0.000003,0.503440,-0.002479,-0.000029,-0.864027,0.000957,-0.000543,0.000211
0.050000,0.000020,-0.000011,0.000004,0.503412,-0.002750,-0.000032,-0.864042,0.001181,-0.000669,0.000260
0.055000,0.000026,-0.000015,0.000006,0.503385,-0.003021,-0.000034,-0.864057,0.001427,-0.000809,0.000314
0.060000,0.000034,-0.000019,0.000007,0.503357,-0.003290,-0.000037,-0.864072,0.001697,-0.000962,0.000373
0.065000,0.000043,-0.000025,0.000010,0.503330,-0.003559,-0.000040,-0.864087,0.001989,-0.001128,0.000438
0.070000,0.000054,-0.000031,0.000012,0.503302,-0.003826,-0.000042,-0.864102,0.002305,-0.001307,0.000507
0.075000,0.000066,-0.000038,0.000015,0.503274,-0.004093,-0.000044,-0.864117,0.002643,-0.001499,0.000582
0.080000,0.000080,-0.000046,0.000018,0.503247,-0.004359,-0.000047,-0.864132,0.003004,-0.001705,0.000661
0.085000,0.000096,-0.000055,0.000021,0.503219,-0.004624,-0.000049,-0.864147,0.003388,-0.001923,0.000746
0.090000,0.000114,-0.000065,0.000025,0.503191,-0.004889,-0.000051,-0.864161,0.003794,-0.002154,0.000835
0.095000,0.000134,-0.000076,0.000030,0.503164,-0.005152,-0.000053,-0.864176,0.004224,-0.002397,0.000930
0.100000,0.000157,-0.000089,0.000034,0.503136,-0.005415,-0.000055,-0.864190,0.004675,-0.002654,0.001029
0.105000,0.000181,-0.000103,0.000040,0.503108,-0.005677,-0.000057,-0.864205,0.005149,-0.002924,0.001133
0.110000,0.000208,-0.000118,0.000046,0.503080,-0.005938,-0.000059,-0.864219,0.005645,-0.003206,0.001243
0.115000,0.000238,-0.000135,0.000052,0.503053,-0.006198,-0.000061,-0.864234,0.006164,-0.003501,0.001357
0.120000,0.000270,-0.000153,0.000059,0.503025,-0.006457,-0.000063,-0.864248,0.006705,-0.003809,0.001476
