#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,0.010655083,0.015572080,-0.044165247,-0.037726715,0.000149421,-9.861960065
100000005000000,0.026646329,0.017492235,-0.020361340,-0.053774236,0.024934069,-9.847094540
100000010000000,0.006611094,0.051963232,-0.015571978,0.010464068,0.011747174,-9.869987547
100000015000000,-0.019406728,0.009124065,-0.010028419,0.099721117,-0.159965692,-9.802006344
100000020000000,0.009852975,0.007782770,0.015604935,-0.011452095,0.031464185,-9.902899165
100000025000000,-0.002820463,-0.023837743,-0.022469010,0.019568509,-0.070968469,-9.807615627
100000030000000,-0.032824396,-0.026091039,0.003589368,0.135014143,0.023284923,-9.829846377
100000035000000,0.012390706,-0.023405225,-0.013827933,-0.077125743,0.061266553,-9.817296449
100000040000000,0.043996415,-0.003361568,0.010425498,-0.047297682,0.002589559,-9.863368225
100000045000000,0.051838160,-0.029697524,-0.045568328,-0.064696251,-0.019258724,-9.871163087
100000050000000,-0.016340815,0.008547682,-0.035562465,0.118583736,0.183319312,-9.818573302
100000055000000,-0.002107810,0.002226548,-0.035207222,0.113519305,0.038739742,-9.901332299
100000060000000,0.005209130,0.003936817,0.017673104,-0.032960126,0.025051147,-9.844700342
100000065000000,-0.005115552,0.001954963,-0.023961118,-0.026734208,-0.077833349,-9.827769551
100000070000000,0.052462608,0.008207370,-0.011937795,-0.047653864,0.023976375,-9.831956796
100000075000000,0.001147610,-0.023063951,-0.003522375,0.064786832,-0.039760609,-9.842956961
100000080000000,-0.034252437,-0.007456910,0.022088920,-0.111381028,0.008425160,-9.809157829
100000085000000,0.035883553,-0.031862662,-0.025814783,-0.027018573,-0.054226948,-9.710160129
100000090000000,0.034073401,-0.009508214,-0.001322335,-0.085758070,-0.033932081,-9.624509650
100000095000000,0.001650648,-0.030630988,0.000547498,-0.162847188,-0.076464817,-9.788050123
100000100000000,0.003687471,-0.006488930,0.005629986,-0.001172618,-0.037256765,-9.748285409
100000105000000,0.007338982,-0.041455686,0.000989777,0.010080595,-0.046217574,-9.720028340
100000110000000,-0.005006764,-0.024618212,0.036673354,0.045393211,-0.057168252,-9.839196876
