#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
100000005000000,0.005000,-0.000000,0.000000,1.000000,-0.000000,-0.000003,-0.000000,1.000000,-0.000000,0.000000
100000010000000,0.010000,-0.000000,0.000000,1.000000,-0.000001,-0.000007,-0.000000,1.000001,-0.000000,0.000000
100000015000000,0.015000,-0.000000,0.000000,1.000000,-0.000001,-0.000010,-0.000000,1.000001,-0.000000,0.000000
100000020000000,0.020000,-0.000000,0.000000,1.000000,-0.000002,-0.000013,-0.000000,1.000003,-0.000000,0.000000
100000025000000,0.025000,-0.000000,0.000000,1.000000,-0.000002,-0.000017,-0.000000,1.000004,-0.000001,0.000001
100000030000000,0.030000,-0.000000,0.000000,1.000000,-0.000003,-0.000020,-0.000000,1.000006,-0.000001,0.000001
100000035000000,0.035000,-0.000000,0.000000,1.000000,-0.000003,-0.000024,-0.000001,1.000008,-0.000001,0.000001
100000040000000,0.040000,-0.000000,0.000000,1.000000,-0.000004,-0.000027,-0.000001,1.000011,-0.000001,0.000002
100000045000000,0.045000,-0.000000,0.000000,1.000000,-0.000004,-0.000030,-0.000001,1.000013,-0.000002,0.000002
100000050000000,0.050000,-0.000000,0.000000,1.000000,-0.000005,-0.000034,-0.000001,1.000016,-0.000002,0.000003
100000055000000,0.055000,-0.000000,0.000000,1.000000,-0.000005,-0.000037,-0.000001,1.000020,-0.000003,0.000003
100000060000000,0.060000,-0.000000,0.000000,1.000000,-0.000005,-0.000040,-0.000002,1.000024,-0.000003,0.000004
100000065000000,0.065001,-0.000000,0.000000,1.000000,-0.000006,-0.000044,-0.000002,1.000028,-0.000004,0.000004
100000070000000,0.070001,-0.000000,0.000000,1.000000,-0.000006,-0.000047,-0.000002,1.000032,-0.000004,0.000005
100000075000000,0.075001,-0.000000,0.000000,1.000000,-0.000007,-0.000050,-0.000003,1.000037,-0.000005,0.000006
