#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,-0.000013694,-0.000082126,0.000000672,-0.000003787,0.000000671,-9.810000503
100000010000000,-0.024283375,-0.145772009,-0.001166263,-0.007141194,0.001189706,-9.809098506
100000020000000,-0.024487113,-0.147146418,-0.003495103,-0.007208756,0.001199467,-9.807344167
100000030000000,-0.023725678,-0.142752551,-0.005852031,-0.006995660,0.001161945,-9.805586659
100000040000000,-0.023908938,-0.144043953,-0.008141512,-0.007055428,0.001170716,-9.803895068
100000050000000,-0.023891127,-0.144148306,-0.010417832,-0.007055532,0.001169633,-9.802227787
100000060000000,-0.023511076,-0.142098548,-0.012687111,-0.006954023,0.001150823,-9.800578757
100000070000000,-0.023179940,-0.140360036,-0.014927462,-0.006871161,0.001134428,-9.798960932
100000080000000,-0.023083624,-0.140047043,-0.017128083,-0.006857139,0.001129520,-9.797382625
100000090000000,-0.023054337,-0.140152581,-0.019295575,-0.006859768,0.001127887,-9.795833805
100000100000000,-0.022878499,-0.139395137,-0.021438864,-0.006818062,0.001119090,-9.794311369
100000110000000,-0.022576151,-0.137894514,-0.023555524,-0.006744928,0.001104143,-9.792812957
100000120000000,-0.022381192,-0.137052552,-0.025632654,-0.006704010,0.001094434,-9.791346019
100000130000000,-0.022184015,-0.136211556,-0.027674312,-0.006658378,0.001084627,-9.789908112
100000140000000,-0.021984728,-0.135371458,-0.029679226,-0.006621113,0.001074721,-9.788496522
100000150000000,-0.021783471,-0.134532382,-0.031646237,-0.006579850,0.001064714,-9.787112502
100000160000000,-0.021580316,-0.133694140,-0.033574194,-0.006536979,0.001054627,-9.785756468
100000170000000,-0.021375404,-0.132856988,-0.035462066,-0.006491328,0.001044484,-9.784425413
100000180000000,-0.021168839,-0.132020780,-0.037308953,-0.006451101,0.001034226,-9.783121349
100000190000000,-0.020960655,-0.131185525,-0.039113942,-0.006409803,0.001023918,-9.781842559
100000200000000,-0.020751036,-0.130351305,-0.040876260,-0.006368963,0.001013539,-9.780589510
100000210000000,-0.020540005,-0.129517885,-0.042595203,-0.006329734,0.001003068,-9.779361456
100000220000000,-0.020327734,-0.128685345,-0.044269990,-0.006287350,0.000992576,-9.778158459
100000230000000,-0.020114286,-0.127853764,-0.045900157,-0.006245123,0.000982031,-9.776979147
100000240000000,-0.019899834,-0.127023344,-0.047485225,-0.006200989,0.000971495,-9.775823484
100000250000000,-0.019684407,-0.126194263,-0.049024732,-0.006158344,0.000960866,-9.774693055
100000260000000,-0.019468140,-0.125365880,-0.050518420,-0.006119976,0.000950139,-9.773584770
100000270000000,-0.019251084,-0.124538629,-0.051965810,-0.006078138,0.000939446,-9.772498825
100000280000000,-0.019033397,-0.123711967,-0.053366815,-0.006036826,0.000928716,-9.771436730
100000290000000,-0.018815066,-0.122886435,-0.054721376,-0.005992776,0.000917993,-9.770397461
100000300000000,-0.018596284,-0.122062020,-0.056029307,-0.005955069,0.000907194,-9.769378784
100000310000000,-0.018377127,-0.121238676,-0.057290671,-0.005913533,0.000896404,-9.768381686
100000320000000,-0.018157653,-0.120416200,-0.058505460,-0.005875986,0.000885532,-9.767406946
100000330000000,-0.017937993,-0.119594881,-0.059673740,-0.005834869,0.000874753,-9.766451913
100000340000000,-0.017718176,-0.118774242,-0.060795678,-0.005792601,0.000863967,-9.765518825
100000350000000,-0.017498339,-0.117954995,-0.061871584,-0.005751552,0.000853180,-9.764604631
100000360000000,-0.017278555,-0.117137113,-0.062901843,-0.005713786,0.000842316,-9.763712135
100000370000000,-0.017058886,-0.116319926,-0.063886561,-0.005673044,0.000831527,-9.762838717
100000380000000,-0.016839414,-0.115503708,-0.064825985,-0.005631983,0.000820741,-9.761984147
100000390000000,-0.016620185,-0.114688592,-0.065720747,-0.005589469,0.000810022,-9.761149736
100000400000000,-0.016401258,-0.113874516,-0.066571294,-0.005550409,0.000799304,-9.760333452
100000410000000,-0.016182728,-0.113061244,-0.067378215,-0.005510867,0.000788510,-9.759535526
100000420000000,-0.015964724,-0.112249115,-0.068141967,-0.005470188,0.000777823,-9.758756575
100000430000000,-0.015747274,-0.111438059,-0.068862962,-0.005430433,0.000767176,-9.757995967
100000440000000,-0.015530496,-0.110627960,-0.069542040,-0.005394711,0.000756431,-9.757251132
100000450000000,-0.015314315,-0.109819478,-0.070179603,-0.005354675,0.000745928,-9.756524934
