#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000000000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
100000010000000,0.010000,-0.000000,0.000000,1.000000,-0.000122,-0.000732,-0.000006,1.000072,-0.000012,0.000009
100000020000000,0.020002,-0.000000,0.000000,0.999999,-0.000243,-0.001459,-0.000024,1.000287,-0.000048,0.000036
100000030000000,0.030006,-0.000001,0.000001,0.999998,-0.000363,-0.002183,-0.000053,1.000644,-0.000107,0.000081
100000040000000,0.040015,-0.000003,0.000002,0.999996,-0.000483,-0.002902,-0.000094,1.001143,-0.000190,0.000143
100000050000000,0.050030,-0.000005,0.000004,0.999993,-0.000601,-0.003617,-0.000146,1.001781,-0.000297,0.000223
100000060000000,0.060051,-0.000009,0.000006,0.999990,-0.000718,-0.004327,-0.000209,1.002560,-0.000426,0.000320
100000070000000,0.070081,-0.000014,0.000010,0.999987,-0.000835,-0.005034,-0.000284,1.003477,-0.000578,0.000435
100000080000000,0.080121,-0.000020,0.000015,0.999983,-0.000951,-0.005736,-0.000370,1.004533,-0.000754,0.000567
100000090000000,0.090173,-0.000029,0.000022,0.999979,-0.001065,-0.006434,-0.000466,1.005725,-0.000952,0.000716
100000100000000,0.100236,-0.000039,0.000030,0.999974,-0.001179,-0.007127,-0.000574,1.007053,-0.001172,0.000882
100000110000000,0.110314,-0.000052,0.000039,0.999968,-0.001291,-0.007817,-0.000691,1.008516,-0.001415,0.001065
100000120000000,0.120407,-0.000068,0.000051,0.999963,-0.001403,-0.008502,-0.000820,1.010114,-0.001680,0.001265
100000130000000,0.130517,-0.000086,0.000065,0.999956,-0.001513,-0.009184,-0.000958,1.011845,-0.001967,0.001482
100000140000000,0.140644,-0.000107,0.000081,0.999949,-0.001622,-0.009860,-0.001107,1.013709,-0.002276,0.001715
100000150000000,0.150791,-0.000131,0.000099,0.999942,-0.001731,-0.010533,-0.001265,1.015704,-0.002606,0.001965
