#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,0.003392289,-0.002993962,0.001078600,0.007976725,-0.008966748,-9.811730722
100000010000000,-0.030207955,-0.144228276,0.002787466,-0.007882197,0.005557641,-9.811408389
100000020000000,-0.025915164,-0.146153628,0.001050418,-0.021470811,0.001369007,-9.809470632
100000030000000,-0.026125168,-0.139439990,-0.003530194,0.001519874,0.005634410,-9.817989851
100000040000000,-0.021407781,-0.136500411,-0.012687275,-0.004218538,-0.007497115,-9.797499365
100000050000000,-0.018848428,-0.143362360,-0.005472847,-0.000190182,-0.003150382,-9.818972329
100000060000000,-0.026155390,-0.143124711,-0.014547007,-0.001573264,0.006198244,-9.806932594
100000070000000,-0.020482081,-0.140942460,-0.012921491,-0.016453525,0.011708888,-9.788990583
100000080000000,-0.027118402,-0.140605550,-0.019731516,-0.010073401,0.007337149,-9.802659575
100000090000000,-0.021966509,-0.144811181,-0.020288234,-0.010861826,-0.006056559,-9.789129817
100000100000000,-0.021452362,-0.141773748,-0.023737067,-0.008059229,-0.000843729,-9.802237386
100000110000000,-0.022946931,-0.140472724,-0.023098149,-0.009439884,-0.002020005,-9.795609536
100000120000000,-0.021197958,-0.134943961,-0.024604746,-0.006616512,0.002040732,-9.798143088
100000130000000,-0.029928068,-0.135366939,-0.027406667,-0.007483262,0.000738995,-9.779124964
100000140000000,-0.015693477,-0.135860075,-0.029443589,-0.008687126,0.003074507,-9.779979337
100000150000000,-0.026363883,-0.136062236,-0.032876038,-0.005445713,0.008163364,-9.791960161
100000160000000,-0.023641581,-0.135911162,-0.033213736,-0.009939669,0.011775574,-9.766758342
100000170000000,-0.022250172,-0.129956712,-0.032545230,-0.006762921,0.002785484,-9.788604662
100000180000000,-0.025244405,-0.134489092,-0.037985745,-0.006021509,0.003015662,-9.775943426
100000190000000,-0.021746836,-0.128812436,-0.038290532,-0.012401267,0.010002370,-9.781277364
100000200000000,-0.027019251,-0.128358222,-0.043190629,-0.014075084,-0.004374695,-9.768540332
100000210000000,-0.019095506,-0.130150541,-0.041051822,-0.007326927,-0.001041733,-9.790249648
100000220000000,-0.019404924,-0.129910611,-0.045590167,-0.002370231,0.010341366,-9.777197484
100000230000000,-0.019241229,-0.128457567,-0.042989125,-0.004378663,0.012786111,-9.775412660
100000240000000,-0.020207105,-0.123684448,-0.050831102,-0.002097000,0.008589572,-9.781558683
100000250000000,-0.024015698,-0.122700061,-0.049693262,-0.001178966,-0.001102840,-9.796484734
100000260000000,-0.017349620,-0.128407206,-0.051371064,-0.008333665,-0.000190545,-9.771423639
100000270000000,-0.020444438,-0.123047451,-0.046035889,0.000358488,0.000190879,-9.777645971
100000280000000,-0.023139993,-0.125358136,-0.056594920,-0.002404255,0.004236544,-9.777610055
100000290000000,-0.018270037,-0.124116812,-0.054013783,-0.003725900,-0.005513731,-9.766995105
100000300000000,-0.020455609,-0.121837757,-0.055211629,-0.003188825,0.011686104,-9.759939211
100000310000000,-0.020333968,-0.120725771,-0.055548337,-0.000964417,0.002812709,-9.755625952
100000320000000,-0.014517785,-0.122064738,-0.061566513,-0.007734939,0.001766768,-9.782082438
100000330000000,-0.017561045,-0.119985635,-0.061348498,0.003426528,0.015853086,-9.765703546
100000340000000,-0.020743404,-0.123425929,-0.060841972,-0.018567721,-0.000668290,-9.763671074
100000350000000,-0.020007192,-0.116494831,-0.061727726,0.007718378,0.010731998,-9.766239299
100000360000000,-0.014224781,-0.117571246,-0.066457026,-0.013633691,0.010721244,-9.755677624
100000370000000,-0.019657232,-0.115575659,-0.058109283,-0.005752476,0.005141891,-9.784663027
100000380000000,-0.014221322,-0.118595455,-0.067963289,-0.007037572,-0.000412291,-9.748300411
100000390000000,-0.013264156,-0.114997232,-0.064284459,-0.008484157,-0.003041912,-9.767334074
100000400000000,-0.015627340,-0.115872822,-0.066088443,-0.017441845,0.003611075,-9.766018990
100000410000000,-0.017728201,-0.112493493,-0.066246076,-0.006843832,0.005156795,-9.747216859
100000420000000,-0.012606763,-0.108477613,-0.071946503,0.001727105,0.000099934,-9.745019688
100000430000000,-0.017360861,-0.109606786,-0.069135298,-0.015559497,-0.003666476,-9.760434745
100000440000000,-0.019277287,-0.109615555,-0.070369215,-0.012879443,-0.002841105,-9.772283828
100000450000000,-0.009464606,-0.108670170,-0.071992452,0.000829409,-0.014639345,-9.759722281
100000460000000,-0.012324318,-0.108079964,-0.071688347,-0.005813694,0.007704329,-9.764378969
100000470000000,-0.018294778,-0.106829220,-0.071296127,0.003664697,0.006968709,-9.750003966
100000480000000,-0.013770832,-0.107632755,-0.074883698,-0.011750504,0.001523939,-9.760176755
100000490000000,-0.015252393,-0.111086803,-0.074646708,-0.005807626,0.001597364,-9.754462486
100000500000000,-0.015445447,-0.104955360,-0.071346640,-0.006023362,-0.000124396,-9.744588540
100000510000000,-0.013493169,-0.103893322,-0.069291517,0.004933023,0.003998464,-9.749410578
100000520000000,-0.009701519,-0.105453040,-0.073207214,-0.005142043,0.002030271,-9.756633451
100000530000000,-0.013710074,-0.103207727,-0.073212133,-0.013545799,0.004851013,-9.752400857
100000540000000,-0.012689409,-0.098547829,-0.075814266,-0.014827106,0.003214889,-9.740833179
100000550000000,-0.015083734,-0.099710066,-0.070795916,-0.003091913,0.001420833,-9.754111661
100000560000000,-0.015356169,-0.104551235,-0.073669926,-0.016782725,-0.018148516,-9.741665999
100000570000000,-0.014347965,-0.102078662,-0.076026181,-0.003440907,-0.009803559,-9.740782824
100000580000000,-0.010685438,-0.100226530,-0.071322382,-0.004216341,0.000868763,-9.748309466
100000590000000,-0.011643892,-0.098641020,-0.074319465,-0.011614309,-0.000478988,-9.752458957
100000600000000,-0.008255571,-0.095204027,-0.076218727,-0.005305225,0.002328378,-9.740567751
100000610000000,-0.015259856,-0.099278950,-0.077666114,-0.004429666,-0.000102715,-9.745095025
100000620000000,-0.008506380,-0.095867204,-0.074269020,-0.006913618,0.002506946,-9.747612971
100000630000000,-0.011326955,-0.097039468,-0.076254559,-0.002592846,0.001357677,-9.740420765
100000640000000,-0.018360453,-0.092829187,-0.075998470,-0.000391249,0.004875945,-9.749713464
100000650000000,-0.008250932,-0.094251965,-0.075476350,-0.004894479,0.000826126,-9.735713870
100000660000000,-0.005457763,-0.090501650,-0.077788132,-0.011809975,0.011014962,-9.746551499
100000670000000,-0.017860829,-0.090848309,-0.073634211,-0.006682738,0.007707226,-9.742353547
100000680000000,-0.009856951,-0.090000623,-0.083310144,-0.005901119,0.003402278,-9.749531230
100000690000000,-0.008863186,-0.088441633,-0.076501342,-0.002949819,-0.009858241,-9.761619154
100000700000000,-0.006108672,-0.090298532,-0.073898916,-0.005499779,-0.006083527,-9.743849711
