#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000000000000,-0.017288093,0.005427342,-0.060777155,0.082597224,0.114718850,-9.794286541
100000005000000,-0.006425432,-0.163551283,-0.000384313,-0.010932360,-0.087053965,-9.711592035
100000010000000,-0.003591940,-0.115626120,0.013933132,-0.057124018,-0.018569840,-9.664864127
100000015000000,-0.042334299,-0.176444069,0.039150541,0.090433612,-0.026914713,-9.936851362
100000020000000,-0.033246899,-0.181255971,-0.010508565,-0.041037076,-0.011094806,-9.849627620
100000025000000,-0.002166772,-0.128368414,-0.018638753,-0.006325552,0.036285793,-9.746421447
100000030000000,-0.015328278,-0.157199283,0.010111979,0.001682694,-0.059076200,-9.732973073
100000035000000,-0.026791828,-0.158685710,-0.062902548,0.003177452,-0.066783025,-9.762747433
100000040000000,0.020925694,-0.146819235,-0.025463092,0.062378729,-0.142148519,-9.756229355
100000045000000,-0.018794105,-0.112679270,-0.002414895,0.115402459,-0.109766305,-9.772362264
100000050000000,0.018781854,-0.146826793,-0.004640402,0.023902343,-0.034700898,-9.840017338
100000055000000,-0.090432835,-0.141890680,0.000910050,0.018992562,-0.050898596,-9.745634055
100000060000000,-0.041459377,-0.111964236,-0.039460267,-0.051347812,0.048795651,-9.751707603
100000065000000,0.015035938,-0.136867493,-0.064943202,0.016864776,0.025959189,-9.776058541
100000070000000,-0.072237188,-0.157752810,0.003828129,-0.103153430,-0.119723779,-9.958438879
100000075000000,0.037118799,-0.154504425,-0.026105212,-0.018734762,0.002689177,-9.791183259
100000080000000,-0.033019985,-0.182203570,-0.011388244,-0.037169469,0.054124524,-9.858843098
100000085000000,-0.004143225,-0.173461018,-0.008810874,0.017620781,0.102521584,-9.812903581
100000090000000,-0.029230559,-0.158688424,0.009074073,-0.003002697,0.074827947,-9.761441430
100000095000000,0.004134066,-0.156686832,0.010085278,-0.030676006,0.039514715,-9.894946944
100000100000000,0.004303229,-0.178479630,-0.027904327,0.096082668,0.068074505,-9.754941223
100000105000000,-0.028056560,-0.126413827,0.008725454,-0.186051282,-0.071301318,-9.850956045
100000110000000,0.010818437,-0.150434894,-0.040075600,-0.048364817,-0.056895132,-9.675659777
100000115000000,-0.026676217,-0.107828962,-0.021555511,-0.114947775,-0.009646148,-9.728921722
100000120000000,-0.032240279,-0.131160549,-0.092942180,0.010128597,0.066557550,-9.702398907
100000125000000,-0.037104455,-0.167939763,-0.050045875,0.061395509,0.099443195,-9.793776631
100000130000000,-0.018249036,-0.150098264,-0.039821099,0.016558219,-0.057423120,-9.806781058
100000135000000,-0.021203895,-0.100377290,-0.018241673,-0.154860033,0.030870343,-9.782601356
100000140000000,0.023546463,-0.115713385,-0.066367071,0.125721441,0.188717062,-9.810821409
100000145000000,-0.046642632,-0.140408773,-0.016008601,0.013331024,0.045127775,-9.938580319
100000150000000,0.013850871,-0.188081443,0.013980349,0.034699266,-0.022028207,-9.813598071
100000155000000,0.037438149,-0.145356032,0.017177203,0.010169454,0.059032909,-9.824119366
100000160000000,-0.071716781,-0.167028055,-0.025773904,0.001000212,-0.079770642,-9.740547436
100000165000000,-0.045724441,-0.124607281,-0.058688555,-0.018413810,-0.008860213,-9.784595111
100000170000000,-0.043106001,-0.156031251,-0.068299541,-0.020624898,0.004319876,-9.781525671
